0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.1274983,0.053591125,0.039531365,-0.015228592,0.10111098,-0.07303112,-0.09667651,0.008857391,-0.020440353,0.07997044,0.053022914,-0.05445698,-0.15681143,0.052716713,-0.06529948,-0.053930625,-0.015001579,-0.12518108,-0.036635537,0.10786539,0.033228453,-0.08882664,-0.04682689,-0.03509653,-0.03135352,-0.09925845,-0.09782364,0.052456215,-0.008119297,-0.01692172,-0.11809158,-0.07182491,-0.07304408,-0.06951341,-0.09368388,0.0109500475,-0.008962817,-0.13062835,-0.026177555,0.04919227,0.026985304,-0.08614972,-0.0580199,-0.028516147,-0.06252399,0.01341129,0.06503428,0.01996705,-0.068891585,0.049444504,-0.09261947,0.06709137,0.005303811,0.07781846,0.053811256,0.15438867,0.02144752,0.008944952,-0.05529554,0.05537314,0.14382425,0.0900466,-0.019741675,0.06424349
0.11667867,0.05150813,0.0331136,-0.010911165,0.09181868,-0.06381236,-0.09096057,0.0052676215,-0.019188523,0.07329143,0.047267374,-0.0520049,-0.14526336,0.04895486,-0.05911793,-0.052834164,-0.017914183,-0.114127725,-0.034146927,0.1017388,0.025674859,-0.08217868,-0.043963954,-0.031593,-0.025524799,-0.09120035,-0.08711886,0.043138396,-0.006432017,-0.01215109,-0.111012965,-0.0630803,-0.067981474,-0.063335344,-0.088401295,0.0073173563,-0.008564825,-0.12021243,-0.021824345,0.044467144,0.021835228,-0.075606406,-0.04842524,-0.024715183,-0.06091985,0.011311664,0.056938548,0.02264796,-0.060565952,0.042437915,-0.08416035,0.062147494,0.0070393556,0.06815343,0.04685646,0.14228664,0.024098225,0.006635723,-0.046619926,0.053320672,0.13411608,0.07969687,-0.018901557,0.06091357
0.1607598,0.070400506,0.046328984,-0.01572974,0.12667161,-0.08861609,-0.124752685,0.007911026,-0.026326813,0.10095617,0.06541406,-0.071153,-0.19973886,0.06728615,-0.08160001,-0.0719938,-0.023718666,-0.15734419,-0.04690483,0.13947889,0.036464468,-0.11302088,-0.060317807,-0.04364971,-0.035897296,-0.12557176,-0.12058554,0.060556225,-0.009091819,-0.017509356,-0.15227622,-0.08752188,-0.09340335,-0.087327644,-0.12118523,0.010704152,-0.011717144,-0.16547453,-0.030560274,0.06139355,0.030742921,-0.10491456,-0.06779548,-0.034370467,-0.08308325,0.015806537,0.07904306,0.0301972,-0.08401847,0.05911792,-0.116094045,0.08545424,0.009195715,0.09460643,0.06510857,0.19581237,0.032173406,0.009499522,-0.065149784,0.072855994,0.1842103,0.11042972,-0.025850307,0.08343826
0.1919133,0.08367593,0.05576366,-0.019228954,0.15132532,-0.10623931,-0.1485575,0.00986718,-0.031356696,0.12050438,0.07827783,-0.084618315,-0.23818383,0.080219366,-0.09750864,-0.08542662,-0.027691122,-0.18789992,-0.055902,0.16605714,0.04423656,-0.13479044,-0.07184115,-0.052186847,-0.043326065,-0.14985178,-0.14431198,0.0730168,-0.011002528,-0.021399582,-0.18134701,-0.104877636,-0.11133456,-0.1042924,-0.14427195,0.01318151,-0.013933746,-0.19744194,-0.036800306,0.073373035,0.03712692,-0.12572774,-0.08162983,-0.041236967,-0.09863206,0.019013008,0.09474488,0.035396848,-0.10066995,0.07099333,-0.13868116,0.101902604,0.010651929,0.11339648,0.07808193,0.23360968,0.037741795,0.011571509,-0.07836889,0.08658016,0.21953604,0.13223353,-0.030735312,0.099291384
0.22857489,0.09848592,0.067876264,-0.024344152,0.18057263,-0.12797445,-0.17575082,0.013104854,-0.037116736,0.14347342,0.093830034,-0.09974923,-0.28284615,0.09520461,-0.11644104,-0.10008711,-0.030986022,-0.22399996,-0.06628542,0.19633666,0.054943416,-0.16011555,-0.08503566,-0.062406536,-0.0531127,-0.17830427,-0.17302571,0.08928478,-0.013580166,-0.027076965,-0.21458752,-0.12617545,-0.1320616,-0.12434862,-0.17056112,0.016988141,-0.016422713,-0.23484066,-0.044846397,0.08765209,0.045582544,-0.15128651,-0.09945009,-0.0497728,-0.11570961,0.023103394,0.11407239,0.040073384,-0.1210829,0.08589497,-0.16545936,0.12101201,0.011645058,0.13651793,0.09413642,0.2777602,0.042820808,0.014520882,-0.09523834,0.10185833,0.26028436,0.15878521,-0.036208674,0.117247894
0.16057992,0.07087496,0.045589622,-0.01503315,0.12637007,-0.0878388,-0.12517156,0.007265152,-0.026405707,0.10086731,0.06505896,-0.07156026,-0.1999102,0.06737061,-0.08136501,-0.07269436,-0.024631605,-0.15707153,-0.04699157,0.14000222,0.035361156,-0.113094166,-0.060499646,-0.043482985,-0.035146054,-0.1255132,-0.119911164,0.05939621,-0.008857582,-0.016741302,-0.15276632,-0.08682927,-0.093553804,-0.087167285,-0.12164836,0.010085379,-0.01178542,-0.1654396,-0.030047601,0.061201267,0.030066572,-0.10407162,-0.06667119,-0.034022026,-0.08382113,0.015573032,0.07837623,0.03114546,-0.083367944,0.058420908,-0.11582962,0.08552686,0.0096759945,0.093813464,0.06449965,0.19581762,0.033140875,0.009140957,-0.06418285,0.07336849,0.18456462,0.10969827,-0.026008839,0.08382115
0.26575944,0.1158978,0.077190705,-0.026598223,0.20954661,-0.14708926,-0.20574534,0.013635984,-0.043427166,0.1668742,0.10838589,-0.1171999,-0.3298517,0.111093916,-0.13502258,-0.11833215,-0.038387623,-0.26019752,-0.07741859,0.22998397,0.061211642,-0.18666509,-0.09949578,-0.0722626,-0.059966225,-0.2075167,-0.19981796,0.10106488,-0.015226338,-0.029601034,-0.25115636,-0.14520727,-0.15418608,-0.14442022,-0.1998125,0.018226959,-0.019298872,-0.27342203,-0.050939642,0.10160074,0.051384762,-0.17407453,-0.112994045,-0.057090882,-0.13662107,0.026319526,0.13117626,0.049060304,-0.1393822,0.09828307,-0.19203821,0.141121,0.01477222,0.157,0.10810345,0.32351,0.0523085,0.016008817,-0.1084851,0.11992135,0.30403572,0.18308884,-0.04257016,0.13751853
0.29335964,0.12727034,0.086032316,-0.030175379,0.23150061,-0.16317883,-0.22644259,0.015816594,-0.047807217,0.18417583,0.1199805,-0.1287873,-0.36363432,0.12243974,-0.14921764,-0.12968403,-0.041246906,-0.287336,-0.085291736,0.25305337,0.068843774,-0.20581126,-0.109529614,-0.07990881,-0.067047276,-0.2289698,-0.2212172,0.11287165,-0.017076543,-0.033573415,-0.2764473,-0.16100128,-0.1698929,-0.159494,-0.21984532,0.020848088,-0.02120547,-0.3016377,-0.056804128,0.1123007,0.057491645,-0.19302358,-0.12598708,-0.06339199,-0.14981264,0.029311907,0.14549352,0.052976895,-0.15452543,0.10924723,-0.21214361,0.15557507,0.015717667,0.17412965,0.11997372,0.35683852,0.056536734,0.018088935,-0.1208246,0.13166279,0.33493847,0.20283282,-0.04676628,0.15122885
0.2304156,0.099575266,0.068054706,-0.0241766,0.18194118,-0.12864187,-0.1774652,0.012869269,-0.037473656,0.1446417,0.09443468,-0.10081322,-0.2853353,0.09605683,-0.117301784,-0.101311386,-0.031738624,-0.22575209,-0.066893764,0.19828154,0.054816913,-0.16151191,-0.08585396,-0.06284596,-0.05315964,-0.17978401,-0.1741302,0.08941889,-0.013569541,-0.02689422,-0.21666926,-0.12687308,-0.13326159,-0.12531644,-0.17225523,0.016800014,-0.016598545,-0.23681225,-0.044951323,0.08829176,0.04560586,-0.15211627,-0.09968953,-0.05000762,-0.11708632,0.023173876,0.11468129,0.040921964,-0.12175995,0.08624886,-0.16671976,0.12207659,0.0120015275,0.13724935,0.09460743,0.28011712,0.043702982,0.014451502,-0.095526546,0.10299667,0.26268053,0.15973839,-0.036600642,0.118447095
0.29028696,0.12581521,0.08528296,-0.030009188,0.22911114,-0.16161938,-0.22394757,0.01579153,-0.04728257,0.18224145,0.11878604,-0.1273309,-0.35973844,0.12112205,-0.14768645,-0.12815331,-0.040607534,-0.28434774,-0.08436766,0.25025293,0.068357214,-0.20361151,-0.10832736,-0.079097874,-0.06650197,-0.22655347,-0.21901923,0.11193051,-0.016947135,-0.03338696,-0.273406,-0.1594462,-0.16805719,-0.15783727,-0.21741052,0.020763654,-0.020965401,-0.29844517,-0.05631477,0.11115175,0.057031166,-0.19116199,-0.12489889,-0.062796436,-0.14806013,0.029052528,0.14409727,0.05220526,-0.15302975,0.108242214,-0.20995131,0.15390846,0.015444763,0.17245747,0.11883544,0.35305148,0.055723086,0.017976267,-0.1197564,0.13015266,0.33130664,0.20084253,-0.046235077,0.14953975
